       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
       1812 15 Mar 2023 10:05:24     14.000     14.129     7.7119  28.169930     0.4180 2.3397e-01    290.723     92.875     14.000    26.7197    20.8164    1471.35 0.0000e+00
       1826 15 Mar 2023 10:05:27     13.000     13.120     7.6783  27.808248     0.4305 3.2699e-01    291.663     92.890     13.000    26.3680    20.5449    1470.76 0.0000e+00
       1840 15 Mar 2023 10:05:31     12.000     12.111     7.6447  27.460288     0.4301 4.6282e-01    292.518     92.879     12.000    26.0304    20.2845    1470.20 0.0000e+00
       1854 15 Mar 2023 10:05:34     11.000     11.101     7.6263  27.260726     0.4220 6.6788e-01    292.849     92.819     11.000    25.8363    20.1347    1469.87 0.0000e+00
       1868 15 Mar 2023 10:05:38     10.000     10.092     7.6074  27.070084     0.4278 9.8438e-01    292.942     92.692     10.000    25.6519    19.9925    1469.55 0.0000e+00
       1881 15 Mar 2023 10:05:41      9.000      9.083     7.5903  26.862478     0.4355 1.4553e+00    293.210     92.620      9.000    25.4485    19.8351    1469.21 0.0000e+00
       1894 15 Mar 2023 10:05:44      8.000      8.073     7.5591  26.475419     0.4415 2.2338e+00    293.884     92.578      8.000    25.0684    19.5410    1468.60 0.0000e+00
       1907 15 Mar 2023 10:05:48      7.000      7.064     7.5176  26.077935     0.4342 3.4922e+00    292.520     91.794      7.000    24.6848    19.2453    1467.95 0.0000e+00
       1920 15 Mar 2023 10:05:51      6.000      6.055     7.4971  25.853353     0.4638 5.3613e+00    293.361     91.887      6.000    24.4662    19.0763    1467.58 0.0000e+00
       1934 15 Mar 2023 10:05:54      5.000      5.046     7.4357  25.501296     0.4906 8.3448e+00    297.061     92.729      5.000    24.1435    18.8306    1466.92 0.0000e+00
       1948 15 Mar 2023 10:05:58      4.000      4.037     7.3981  25.348993     0.5441 1.3457e+01    297.429     92.659      4.000    24.0115    18.7315    1466.60 0.0000e+00
       1964 15 Mar 2023 10:06:02      3.000      3.028     7.2889  24.549185     0.5641 2.2874e+01    298.447     92.363      3.000    23.2546    18.1504    1465.21 0.0000e+00
       2004 15 Mar 2023 10:06:12      2.000      2.018     7.0347  23.146414     0.7628 4.0858e+01    304.452     92.805      2.000    21.9635    17.1657    1462.57 0.0000e+00
       2058 15 Mar 2023 10:06:25      1.000      1.009     6.8733  22.417172     0.9339 8.4467e+01    309.012     93.407      1.000    21.3075    16.6679    1461.09 0.0000e+00
